time,KD,K,D,Bias,MACD,DIF,OSC,MFI,highPrice,increasePercent 
123340,-0.17655557398182095,0.027105036881059807,0.20366061086288076,-0.0293414930628239,-3.446249721106445,-3.4449127839899347,0.001336937116510395,0.13139652418004744,79.6,0.0012578616352200544
123350,-0.12372705751700502,0.018070024587373203,0.14179708210437822,-0.02515090543260844,-3.445851452139003,-3.4442583762692323,0.0015930758697706437,0.13139652418004744,79.6,0.0012578616352200544
123400,-0.08650026603075293,0.0120466830582488,0.09854694908900173,-0.020959966464052467,-3.445403933034848,-3.443613856618228,0.001790076416619879,0.13139652418004744,79.6,0.0012578616352200544
123410,-0.06034388470011279,0.008031122038832533,0.06837500673894532,-0.020959966464052467,-3.444920032224614,-3.442984428983678,0.0019356032409358903,0.13139652418004744,79.6,0.0012578616352200544
123420,-0.042013950253149086,0.005354081359221688,0.04736803161237078,-0.020959966464052467,-3.444410825488295,-3.442373998543019,0.0020368269452761822,0.13139652418004744,79.6,0.0012578616352200544
123430,-0.029199096026370875,0.0035693875728144584,0.032768483599185334,-0.020959966464052467,-3.443437024125118,-3.43954181867241,0.0038952054527081614,0.22103544100809813,79.6,0.0012578616352200544
123440,22.201962960966238,33.33571292504854,11.133749964082302,0.10479983232026234,-3.4412985900500592,-3.432744853749824,0.008553736300235038,0.2348117632485156,79.6,0.0
123450,29.615594657300036,55.55714195003235,25.941547292732317,0.10479983232026234,-3.43806628320232,-3.425137055811362,0.01292922739095781,0.2623398669097128,79.6,0.0
123500,29.619920449303947,70.37142796668823,40.75150751738428,0.10479983232028023,-3.4342953253916497,-3.4192114941489677,0.015083831242681978,0.2485672815892883,79.6,0.0
123510,4.108518529160804,46.91428531112548,42.80576678196468,-0.01676867611300563,-3.43171670448731,-3.4214022208699504,0.010314483617359649,0.24795123565105825,79.6,0.0012578616352200544
123520,-7.686384383031793,31.276190207416988,38.96257459044878,-0.012577034335292298,-3.4304689775735673,-3.425478069918597,0.0049909076549701226,0.24789150512721392,79.6,0.0012578616352200544
123530,-12.074520745891633,20.850793471611325,32.92531421750296,-0.012577034335292298,-3.4301259045550916,-3.428753612481188,0.0013722920739036581,0.24780626144007556,79.6,0.0012578616352200544
123540,9.539032064603063,47.233862314407546,37.69483024980448,0.10899639473464383,-3.4290275310323644,-3.4246340369414554,0.004393494090908945,0.2615367908055646,79.6,0.0
123550,-4.13705913791075,31.489241542938363,35.62630068084911,-0.01676867611300563,-3.4284114466136826,-3.4259471089389564,0.0024643376747262025,0.24780626144007556,79.6,0.0012578616352200544
123600,-9.755648657037913,20.99282769529224,30.748476352330155,-0.01676867611300563,-3.428585865924796,-3.429283543169248,-0.0006976772444522439,0.24093670209833817,79.6,0.0012578616352200544
123610,11.05338362968756,47.32855179686149,36.27516816717393,0.10479983232028023,-3.4279098198759224,-3.4252056356804275,0.0027041841954948964,0.24778633628797309,79.6,0.0
123620,-3.1485335350664023,31.552367864574325,34.70090139964073,-0.0209599664640346,-3.42763682382894,-3.4265448396410108,0.001091984187929107,0.24777781641468266,79.6,0.0012578616352200544
123630,-9.110659659949675,21.034911909716214,30.14557156966589,-0.0209599664640346,-3.4280884462402863,-3.4298949358856703,-0.0018064896453839907,0.24091184037274616,79.5,0.0
123640,0.36291313565216754,30.68994127314414,30.327028137491972,-0.0209599664640346,-3.4294297817502764,-3.434795123790238,-0.005365342039961529,0.1652919845291052,79.5,0.0
123650,4.533066251958303,37.12662751542942,32.593561263471116,-0.0209599664640346,-3.4308197319752796,-3.436379532875293,-0.00555980090001329,0.192742287560975,79.5,0.0
123700,-5.228317502123225,24.75108501028628,29.979402512409504,-0.14253374696065507,-3.433517711299248,-3.4443096285951214,-0.010791917295873255,0.19271577127625505,79.5,0.0012594458438286438
123710,-8.98578611481243,16.500723340190852,25.486509455003283,-0.1383473776883225,-3.43734861246657,-3.4526722171358557,-0.015323604669285729,0.10334777688831309,79.5,0.0012594458438286438
